--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 8820, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 54.24609375}
{'pid': 8956, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'dllhost.exe', 'vms': 2.03125}
{'pid': 9052, 'username': None, 'name': 'DolbyDAX2API.exe', 'vms': 25.51171875}
{'pid': 9120, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'OneDrive.exe', 'vms': 28.98828125}
{'pid': 9136, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 5.13671875}
{'pid': 9140, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 1.60546875}
{'pid': 9328, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 21.79296875}
{'pid': 9896, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 5.0703125}
{'pid': 9900, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'WSHelper.exe', 'vms': 7.7109375}
{'pid': 9916, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 5.6796875}
{'pid': 10000, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Creative Cloud.exe', 'vms': 18.21484375}
{'pid': 10016, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'fsnotifier64.exe', 'vms': 0.51171875}
{'pid': 10028, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'AdobeIPCBroker.exe', 'vms': 3.90234375}
{'pid': 10084, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 2.25390625}
{'pid': 10200, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'winpty-agent.exe', 'vms': 2.51171875}
{'pid': 10252, 'username': None, 'name': 'svchost.exe', 'vms': 2.0078125}
{'pid': 10432, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'winpty-agent.exe', 'vms': 2.2109375}
{'pid': 10468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 79.84765625}
{'pid': 10596, 'username': None, 'name': 'NPHOST.EXE', 'vms': 2.97265625}
{'pid': 10736, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 248.5703125}
{'pid': 11032, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 5.14453125}
{'pid': 11044, 'username': None, 'name': 'NPAVIDS.EXE', 'vms': 3.1640625}
{'pid': 11232, 'username': None, 'name': 'conhost.exe', 'vms': 1.26953125}
{'pid': 11588, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SearchUI.exe', 'vms': 87.609375}
{'pid': 11672, 'username': None, 'name': 'NPDMAL.EXE', 'vms': 7.5859375}
{'pid': 11728, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Adobe Desktop Service.exe', 'vms': 155.09765625}
{'pid': 11952, 'username': None, 'name': 'svchost.exe', 'vms': 2.4296875}
{'pid': 11956, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 4.859375}
{'pid': 12000, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Adobe CEF Helper.exe', 'vms': 40.53515625}
{'pid': 12284, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 1.8984375}
