--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'pid': 4596, 'name': 'svchost.exe', 'username': None, 'vms': 3.8671875}
{'pid': 4652, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 24.11328125}
{'pid': 4720, 'name': 'svchost.exe', 'username': None, 'vms': 2.2734375}
{'pid': 4788, 'name': 'svchost.exe', 'username': None, 'vms': 1.5625}
{'pid': 4828, 'name': 'IntelCpHeciSvc.exe', 'username': None, 'vms': 1.33984375}
{'pid': 4996, 'name': 'svchost.exe', 'username': None, 'vms': 1.61328125}
{'pid': 5036, 'name': 'figma_agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 4.01171875}
{'pid': 5144, 'name': 'ZVCMD64.EXE', 'username': None, 'vms': 0.796875}
{'pid': 5580, 'name': 'unsecapp.exe', 'username': None, 'vms': 1.26171875}
{'pid': 5636, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.83984375}
{'pid': 5724, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 19.765625}
{'pid': 5788, 'name': 'svchost.exe', 'username': None, 'vms': 1.7421875}
{'pid': 5856, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 21.28515625}
{'pid': 6300, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.140625}
{'pid': 6356, 'name': 'CCXProcess.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.5625}
{'pid': 6416, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.21875}
{'pid': 6436, 'name': 'sihost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.17578125}
{'pid': 6456, 'name': 'ETDCtrl.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 9.03125}
{'pid': 6468, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.8515625}
{'pid': 6516, 'name': 'ZVMOUNT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.8359375}
{'pid': 6540, 'name': 'svchost.exe', 'username': None, 'vms': 2.2421875}
{'pid': 6584, 'name': 'taskhostw.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.51953125}
{'pid': 6644, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 19.67578125}
{'pid': 6656, 'name': 'pycharm64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 887.484375}
{'pid': 6772, 'name': 'PresentationFontCache.exe', 'username': None, 'vms': 25.08203125}
{'pid': 6816, 'name': 'svchost.exe', 'username': None, 'vms': 1.47265625}
{'pid': 6964, 'name': 'ctfmon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.0078125}
{'pid': 7020, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 91.7578125}
{'pid': 7040, 'name': 'svchost.exe', 'username': None, 'vms': 2.9140625}
{'pid': 7136, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 17.859375}
{'pid': 7164, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.171875}
{'pid': 7176, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.75390625}
{'pid': 7212, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 30.4140625}
{'pid': 7240, 'name': 'svchost.exe', 'username': None, 'vms': 4.96484375}
{'pid': 7292, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 69.0546875}
{'pid': 7500, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 35.6171875}
{'pid': 7512, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.86328125}
{'pid': 7552, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.2890625}
{'pid': 7580, 'name': 'node.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 32.91015625}
{'pid': 7664, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 32.765625}
{'pid': 7672, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 35.765625}
{'pid': 7824, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 447.796875}
{'pid': 7852, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 17.99609375}
{'pid': 7904, 'name': 'conhost.exe', 'username': None, 'vms': 1.12890625}
{'pid': 8052, 'name': 'igfxEM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.51171875}
{'pid': 8064, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 74.87109375}
{'pid': 8220, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.69921875}
{'pid': 8308, 'name': 'SearchIndexer.exe', 'username': None, 'vms': 1.6484375}
{'pid': 8408, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.1328125}
{'pid': 8420, 'name': 'APCONSVC.EXE', 'username': None, 'vms': 6.828125}
{'pid': 8492, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 155.73046875}
{'pid': 8520, 'name': 'MSASCuiL.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.8359375}
{'pid': 8536, 'name': 'DolbyDAX2TrayIcon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.68359375}
{'pid': 8560, 'name': 'fmapp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.9453125}
{'pid': 8608, 'name': 'CAudioFilterAgent64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.7578125}
{'pid': 8636, 'name': 'svchost.exe', 'username': None, 'vms': 3.875}
{'pid': 8664, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 31.375}
{'pid': 8744, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 8.91015625}
{'pid': 8820, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 54.07421875}
{'pid': 8956, 'name': 'dllhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.9140625}
{'pid': 8988, 'name': 'svchost.exe', 'username': None, 'vms': 9.76171875}
{'pid': 9044, 'name': 'GoogleUpdate.exe', 'username': None, 'vms': 3.00390625}
{'pid': 9052, 'name': 'DolbyDAX2API.exe', 'username': None, 'vms': 25.51171875}
{'pid': 9076, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 27.17578125}
{'pid': 9120, 'name': 'OneDrive.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 28.90234375}
{'pid': 9136, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.13671875}
{'pid': 9140, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.671875}
{'pid': 9328, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 22.671875}
{'pid': 9608, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.98828125}
{'pid': 9780, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 53.82421875}
{'pid': 9896, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 4.953125}
{'pid': 9900, 'name': 'WSHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 7.76953125}
{'pid': 9916, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.9375}
{'pid': 10000, 'name': 'Creative Cloud.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.78515625}
{'pid': 10016, 'name': 'fsnotifier64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.51171875}
{'pid': 10028, 'name': 'AdobeIPCBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.890625}
{'pid': 10200, 'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.51171875}
{'pid': 10252, 'name': 'svchost.exe', 'username': None, 'vms': 2.03515625}
